ieee;nwk;model;device_name;entity_id;entity_name;domain;custom_name
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;select.tz3000_gvn91tmx_ts011f_backlight_mode;_TZ3000_gvn91tmx TS011F;select;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;sensor.tz3000_gvn91tmx_ts011f_rms_current;_TZ3000_gvn91tmx TS011F;sensor;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;sensor.tz3000_gvn91tmx_ts011f_rms_voltage;_TZ3000_gvn91tmx TS011F;sensor;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;sensor.tz3000_gvn91tmx_ts011f_active_power;_TZ3000_gvn91tmx TS011F;sensor;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;sensor.tz3000_gvn91tmx_ts011f_summation_delivered;_TZ3000_gvn91tmx TS011F;sensor;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;switch.tz3000_gvn91tmx_ts011f_switch;_TZ3000_gvn91tmx TS011F;switch;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;switch.tz3000_gvn91tmx_ts011f_child_lock;_TZ3000_gvn91tmx TS011F;switch;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;update.socket_for_second_floor_stairs_garland_firmware;_TZ3000_gvn91tmx TS011F;update;
8c:65:a3:ff:fe:c9:5e:f4;0xAAB7;TRADFRI bulb E14 WS candle 470lm;Dining room 3 ceiling light bulb TRADFRI;button.tradfri_bulb_e14_ws_candle_470lm_3_dining_room_new_identify_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;button;
8c:65:a3:ff:fe:c9:5e:f4;0xAAB7;TRADFRI bulb E14 WS candle 470lm;Dining room 3 ceiling light bulb TRADFRI;light.tradfri_bulb_e14_ws_candle_470lm_3_dining_room_new_light_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;light;
8c:65:a3:ff:fe:c9:5e:f4;0xAAB7;TRADFRI bulb E14 WS candle 470lm;Dining room 3 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_3_dining_room_new_on_off_transition_time_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c9:5e:f4;0xAAB7;TRADFRI bulb E14 WS candle 470lm;Dining room 3 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_3_dining_room_new_on_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c9:5e:f4;0xAAB7;TRADFRI bulb E14 WS candle 470lm;Dining room 3 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_3_dining_room_new_start_up_current_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
